county,year,week,aqi,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,co_8hr,pm2.5_avg,pm10_avg,so2_avg
Changhua County,2016,47,45.79661016949152,2.981034482758621,0.38630681818181817,25.232183908045975,32.28888888888889,38.15606936416185,15.19108280254777,14.18235294117647,16.061764705882354,1.8405882352941174,0.4328148148148148,13.491525423728813,38.87570621468927,
Changhua County,2016,48,62.891774891774894,3.7168888888888887,0.37498910675381264,28.549671772428887,27.68480725623583,50.75545851528384,21.359477124183005,14.922417582417582,17.345934065934067,2.398901098901099,0.3808843537414966,20.603896103896105,49.33116883116883,
Changhua County,2016,49,76.28031809145129,3.7982,0.39496031746031746,29.244444444444447,29.455268389662027,56.582834331337324,25.627254509018037,16.254075546719683,19.24652087475149,2.995228628230616,0.39280318091451294,25.7117296222664,56.38369781312127,
Changhua County,2016,50,87.34343434343434,3.650499001996008,0.4339121756487026,28.12075848303393,27.894949494949493,60.90419161676647,30.24439918533605,16.59700598802395,19.853892215568862,3.2499001996007983,0.43365656565656563,30.21417004048583,61.56565656565657,
Changhua County,2016,51,101.48057259713701,4.166733466933867,0.49104208416833667,27.465731462925852,27.376278118609406,70.98989898989899,36.28688524590164,17.08024193548387,19.790120967741935,2.706048387096774,0.4924130879345603,36.174180327868854,70.920245398773,
Changhua County,2016,52,68.23214285714286,3.4240480961923847,0.3826,25.95568862275449,26.0,52.944,21.754601226993866,14.530060120240481,17.975551102204406,3.4557114228456918,0.38095238095238093,21.240079365079364,53.07936507936508,
Changhua County,2017,1,104.06547619047619,4.1646825396825395,0.4600793650793651,24.038690476190474,24.31610337972167,75.18962075848303,37.449101796407184,16.120477137176938,19.63558648111332,3.500596421471173,0.45387673956262425,37.62698412698413,75.60912698412699,
Changhua County,2017,2,69.78043912175649,3.7796780684104627,0.47643863179074447,28.638229376257545,28.395209580838323,45.58953722334004,23.263803680981596,14.949899396378271,17.08450704225352,2.114486921529175,0.48522954091816367,23.44466800804829,46.10179640718563,
Changhua County,2017,3,57.72255489021956,3.394747474747475,0.3505811623246493,29.923446893787574,29.449101796407184,46.73991935483871,18.9026369168357,13.083467741935483,15.593346774193549,2.5026209677419353,0.3467065868263473,18.44311377245509,45.39321357285429,
Changhua County,2017,4,74.51297405189621,3.722020202020202,0.3767474747474748,31.446653144016228,31.53692614770459,53.681451612903224,25.189409368635438,14.001818181818182,16.09030303030303,2.109090909090909,0.38003992015968063,25.085828343313374,54.11377245508982,
Changhua County,2017,5,59.83233532934132,3.1850299401197604,0.34844311377245507,30.66127744510978,31.017964071856287,49.26706827309237,18.932926829268293,10.837125748502993,12.625548902195607,1.802994011976048,0.3387225548902195,18.81437125748503,49.18363273453094,
Changhua County,2017,6,85.458,3.521212121212121,0.4007459677419355,36.880645161290325,36.634,64.02816901408451,29.275510204081634,12.641935483870967,14.37157258064516,1.7225806451612902,0.4084,29.152304609218437,64.32264529058116,
Changhua County,2017,7,96.84830339321357,4.226348547717842,0.46360160965794767,34.31512096774193,34.12774451097805,72.93346774193549,34.70161290322581,17.726315789473684,21.265182186234817,3.554453441295547,0.45968063872255494,34.1936127744511,71.89820359281437,
Changhua County,2017,8,68.64471057884232,2.823529411764706,0.42120967741935483,30.40826612903226,30.22554890219561,46.283702213279675,22.47599164926931,14.148247422680411,17.135051546391754,2.9736082474226806,0.4287425149700599,22.786427145708583,48.00998003992016,
Changhua County,2017,9,91.42261904761905,4.427435387673956,0.43601190476190477,38.31653386454184,38.12896825396825,69.30938123752495,33.29299363057325,16.8182,18.618,1.8242,0.4339285714285714,32.823779193205944,68.56944444444444,
Changhua County,2017,10,91.08333333333333,3.813373253493014,0.46708582834331336,36.5368,36.638888888888886,58.16016427104723,32.725773195876286,16.83053892215569,19.437325349301396,2.624950099800399,0.466468253968254,32.458,57.53798767967146,
Changhua County,2017,11,79.50198412698413,3.8793587174348696,0.3809456740442656,33.189738430583496,33.75350701402806,51.10821643286573,27.01818181818182,15.83507014028056,17.96192384769539,2.142685370741483,0.38253968253968257,27.623015873015873,52.29365079365079,
Changhua County,2017,12,73.02195608782435,3.6659959758551306,0.4329778672032193,40.16290322580645,40.0059880239521,51.29577464788732,24.246406570841888,14.239516129032259,16.300604838709678,2.079838709677419,0.4303393213572854,23.857715430861724,50.96806387225549,
Changhua County,2017,13,115.67073170731707,3.981707317073171,0.4765447154471545,45.920528455284554,45.39837398373984,83.83811475409836,43.0,15.79674134419552,17.937881873727086,2.1419551934826884,0.47540650406504065,42.282377919320595,83.78252032520325,
Changhua County,2017,14,95.65079365079364,3.3371999999999997,0.36353293413173654,38.5856,39.208333333333336,62.83632734530938,32.392638036809814,11.356399999999999,13.3956,2.0474,0.3753968253968254,33.066265060240966,63.67261904761905,
Changhua County,2017,15,78.16167664670658,3.883,0.4335329341317365,28.115768463073852,27.960079840319363,49.50901803607214,26.93877551020408,15.320631578947369,18.054315789473684,2.7336842105263157,0.4345309381237525,26.664670658682635,49.78043912175649,
